proset,perct,count,prev_pval,prev_adjp,rare_pval,rare_adjp,Xist,Airn,Kcnq1ot1
SPEN_KHDRBS1,0.142216759,1967,1,1,0,0,0,0,0
SPEN_HNRNPU,0.291880558,4037,0,0,1,1,0,0,0
SPEN_HNRNPL,0.273949823,3789,0,0,1,1,0,0,0
SPEN_HNRNPC,0.15617092,2160,1,1,0,0,1,0,0
SPEN_CIZ1,0.131805365,1823,1,1,0,0,0,0,0
SPEN_PABPN1,0.187838913,2598,0.999999618,1,4.27E-07,8.10E-07,1,0,0
HNRNPM_PTBP1,0.182560914,2525,1,1,3.73E-11,7.41E-11,0,0,0
HNRNPM_XRN2,0.27004555,3735,2.23E-14,7.60E-14,1,1,1,1,0
HNRNPM_TIA1,0.322753235,4464,0,0,1,1,1,1,1
HNRNPM_SFPQ,0.283132095,3916,0,0,1,1,0,1,1
HNRNPM_RBM15A,0.084881787,1174,1,1,0,0,0,0,0
HNRNPM_SAFB,0.187622009,2595,0.999999727,1,3.06E-07,5.83E-07,0,0,0
HNRNPM_YTHDC1,0.084158774,1164,1,1,0,0,0,0,0
HNRNPM_SRSF1,0.114814547,1588,1,1,5.69E-14,1.17E-13,0,0,0
HNRNPM_NUDT21,0.126888873,1755,1,1,0,0,0,0,0
HNRNPM_KHDRBS1,0.096088497,1329,1,1,0,0,0,0,0
HNRNPM_HNRNPU,0.238305256,3296,0,0,1,1,0,0,0
HNRNPM_HNRNPL,0.172149519,2381,1,1,5.84E-15,1.28E-14,0,0,0
HNRNPM_HNRNPC,0.161738125,2237,1,1,0,0,0,0,0
HNRNPM_CIZ1,0.098329839,1360,1,1,0,0,0,0,0
HNRNPM_PABPN1,0.095293182,1318,1,1,0,0,0,0,0
PTBP1_XRN2,0.13585424,1879,1,1,0,0,0,0,0
PTBP1_TIA1,0.204685128,2831,0.47891985,1,0.52952997,0.920123858,0,0,0
PTBP1_SFPQ,0.161593522,2235,1,1,0,0,0,0,0
PTBP1_RBM15A,0.081194418,1123,1,1,0,0,0,0,0
PTBP1_SAFB,0.075844118,1049,1,1,0,0,0,0,0
PTBP1_YTHDC1,0.104475454,1445,1,1,0,0,0,0,0
PTBP1_SRSF1,0.087556937,1211,1,1,0,0,0,0,0
PTBP1_NUDT21,0.105270769,1456,1,1,0,0,0,0,0
PTBP1_KHDRBS1,0.061745355,854,1,1,0,0,0,0,0
PTBP1_HNRNPU,0.128551804,1778,1,1,0,0,0,0,0
PTBP1_HNRNPL,0.147928566,2046,1,1,0,0,0,0,0
PTBP1_HNRNPC,0.132239173,1829,1,1,0,0,0,0,0
PTBP1_CIZ1,0.066589545,921,1,1,3.76E-15,8.41E-15,1,0,0
PTBP1_PABPN1,0.147494758,2040,1,1,0,0,0,0,0
XRN2_TIA1,0.424770443,5875,7.49E-14,2.21E-13,1,1,1,1,0
XRN2_SFPQ,0.351384571,4860,0,0,1,1,0,1,0
XRN2_RBM15A,0.181765599,2514,1,1,7.26E-12,1.45E-11,0,0,0
XRN2_SAFB,0.221892849,3069,2.16E-07,5.70E-07,0.999999807,1,0,0,0
XRN2_YTHDC1,0.168751356,2334,1,1,0,0,0,0,0
XRN2_SRSF1,0.260646374,3605,3.52E-14,1.12E-13,1,1,0,0,0
XRN2_NUDT21,0.249150459,3446,1.89E-14,6.69E-14,1,1,0,0,0
XRN2_KHDRBS1,0.128262599,1774,1,1,0,0,0,0,0
XRN2_HNRNPU,0.232521148,3216,0,0,1,1,0,0,1
XRN2_HNRNPL,0.199045622,2753,0.946115446,1,0.05626399,0.102857607,0,0,1
XRN2_HNRNPC,0.109391946,1513,1,1,0,0,0,0,0
XRN2_CIZ1,0.123707613,1711,1,1,3.97E-15,8.81E-15,0,0,0
XRN2_PABPN1,0.211192249,2921,0.025246175,0.06069457,0.975969673,1,0,0,0
TIA1_SFPQ,0.401489408,5553,0,0,1,1,0,1,1
TIA1_RBM15A,0.184223845,2548,0.999999999,1,9.33E-10,1.81E-09,0,0,0
TIA1_SAFB,0.320005784,4426,0,0,1,1,0,0,0
TIA1_YTHDC1,0.228833779,3165,9.31E-13,2.61E-12,1,1,0,0,0
TIA1_SRSF1,0.225001808,3112,1.36E-09,3.67E-09,0.999999999,1,0,0,0
TIA1_NUDT21,0.289783819,4008,0,0,1,1,0,0,0
TIA1_KHDRBS1,0.128045694,1771,1,1,0,0,0,0,0
TIA1_HNRNPU,0.290434531,4017,0,0,1,1,0,0,0
TIA1_HNRNPL,0.24813824,3432,2.18E-14,7.49E-14,1,1,0,0,0
TIA1_HNRNPC,0.153784976,2127,1,1,0,0,0,0,0
TIA1_CIZ1,0.111994794,1549,1,1,6.97E-15,1.51E-14,0,0,0
TIA1_PABPN1,0.246909117,3415,2.70E-14,9.02E-14,1,1,0,0,0
SFPQ_RBM15A,0.155158701,2146,1,1,0,0,0,0,0
SFPQ_SAFB,0.201937676,2793,0.774875808,1,0.231563654,0.404372351,0,0,0
SFPQ_YTHDC1,0.165136288,2284,1,1,0,0,0,0,0
SFPQ_SRSF1,0.201793074,2791,0.787447083,1,0.218786874,0.385900467,0,0,0
SFPQ_NUDT21,0.206637264,2858,0.265898985,0.630611781,0.741002228,1,0,0,0
SFPQ_KHDRBS1,0.152845058,2114,1,1,0,0,0,0,0
SFPQ_HNRNPU,0.200419348,2772,0.885435819,1,0.118746986,0.211574579,0,0,0
SFPQ_HNRNPL,0.179524257,2483,1,1,0,0,0,0,0
SFPQ_HNRNPC,0.118140409,1634,1,1,6.47E-14,1.30E-13,0,0,0
SFPQ_CIZ1,0.148073169,2048,1,1,0,0,0,0,0
SFPQ_PABPN1,0.211987564,2932,0.014358092,0.034756485,0.986391948,1,0,0,0
RBM15A_SAFB,0.240763502,3330,0,0,1,1,1,1,1
RBM15A_YTHDC1,0.492372207,6810,0,0,1,1,1,1,1
RBM15A_SRSF1,0.489407852,6769,0,0,1,1,1,1,1
RBM15A_NUDT21,0.458535175,6342,1.29E-14,4.76E-14,1,1,1,1,1
RBM15A_KHDRBS1,0.095365483,1319,1,1,0,0,0,1,0
RBM15A_HNRNPU,0.044176126,611,1,1,0,0,0,0,0
RBM15A_HNRNPL,0.057841082,800,1,1,0,0,0,0,0
RBM15A_HNRNPC,0.042007086,581,1,1,0,0,1,0,0
RBM15A_CIZ1,0.078446967,1085,1,1,0,0,0,0,0
RBM15A_PABPN1,0.359048514,4966,0,0,1,1,1,0,0
SAFB_YTHDC1,0.30373798,4201,8.68E-14,2.50E-13,1,1,1,1,1
SAFB_SRSF1,0.226375533,3131,1.14E-10,3.14E-10,1,1,1,1,1
SAFB_NUDT21,0.277347986,3836,0,0,1,1,1,1,1
SAFB_KHDRBS1,0.104041646,1439,1,1,0,0,0,1,0
SAFB_HNRNPU,0.230062902,3182,7.07E-14,2.10E-13,1,1,0,0,0
SAFB_HNRNPL,0.200130142,2768,0.901120001,1,0.102645827,0.184762488,0,0,0
SAFB_HNRNPC,0.092907237,1285,1,1,0,0,1,0,0
SAFB_CIZ1,0.068830887,952,1,1,2.80E-14,5.81E-14,0,0,0
SAFB_PABPN1,0.174246258,2410,1,1,0,0,1,0,0
YTHDC1_SRSF1,0.431639072,5970,1.20E-14,4.48E-14,1,1,1,1,1
YTHDC1_NUDT21,0.496348782,6865,0,0,1,1,1,1,1
YTHDC1_KHDRBS1,0.088207649,1220,1,1,0,0,0,1,0
YTHDC1_HNRNPU,0.056033548,775,1,1,0,0,0,0,0
YTHDC1_HNRNPL,0.066806449,924,1,1,7.70E-15,1.66E-14,0,0,0
YTHDC1_HNRNPC,0.056395055,780,1,1,0,0,1,0,0
YTHDC1_CIZ1,0.070783024,979,1,1,2.05E-14,4.31E-14,0,0,0
YTHDC1_PABPN1,0.419058636,5796,0,0,1,1,1,0,0
SRSF1_NUDT21,0.479936375,6638,0,0,1,1,1,1,1
SRSF1_KHDRBS1,0.09681151,1339,1,1,0,0,0,1,0
SRSF1_HNRNPU,0.054732123,757,1,1,0,0,0,0,0
SRSF1_HNRNPL,0.06254067,865,1,1,0,0,0,0,0
SRSF1_HNRNPC,0.04598366,636,1,1,0,0,1,0,0
SRSF1_CIZ1,0.086761622,1200,1,1,0,0,0,0,0
SRSF1_PABPN1,0.38073892,5266,0,0,1,1,1,0,0
NUDT21_KHDRBS1,0.102378714,1416,1,1,0,0,0,1,0
NUDT21_HNRNPU,0.078374666,1084,1,1,0,0,0,0,0
NUDT21_HNRNPL,0.08611091,1191,1,1,0,0,0,0,0
NUDT21_HNRNPC,0.062902176,870,1,1,0,0,1,0,0
NUDT21_CIZ1,0.084592582,1170,1,1,0,0,0,0,0
NUDT21_PABPN1,0.365338732,5053,6.88E-15,2.68E-14,1,1,1,0,0
